,channel_title,video_count
1792,Galileo,200
3995,Ruhrpottwache,185
5807,Анатолий Шарий,182
400,Auf Streife,180
5771,Çukur,180
5285,atv,179
3752,Promiflash,172
2247,JP Performance,159
4661,The Daily Show with Trevor Noah,140
4478,Söz Dizi,140
188,Adını Sen Koy,134
2531,Klinik am Südring,133
5905,Россия 24,131
5002,VikatanTV,130
2923,Made My Day,130
1464,Esra Erol'da,127
4677,The Late Show with Stephen Colbert,126
4099,Sallys Welt,126
561,Beni Affet,125
5115,World Wide Wohnzimmer,123
